frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3
100,9852,272.074775673,884.05782652,0.319654882321,3.26118609098,17.2424327565,169.497346865,0.0662224179586,0.6539929345300001,5689.0,1002.0,1.1820909607969103
100,9853,331.700143472,792.426111908,0.42229212364299995,2.3985391041799997,58.655210842200006,151.718129708,0.0477935557302,0.272574886198,5689.0,934.5,0.8748598454251614
100,9854,837.240242845,589.928013877,1.41862094544,0.860053993556,336.362309375,36.9074112287,0.563761784714,0.42203288295900004,5687.5,2556.0,-0.1507601085007154
100,9855,265.874251497,1113.56201882,0.26868193682700003,4.20211039489,22.099868878000002,382.28178974400004,0.0931347021599,1.44737186731,5685.5,2684.5,1.435586874064855
100,9856,278.239704329,935.3780359030001,0.31634967023899996,3.3751580441400004,24.901847175100002,240.18277680900002,0.0802513385355,0.872046220308,5691.5,737.0,1.216442151121435
100,9857,369.29421221900003,579.754019293,0.6383919162430001,1.6110009709,60.2028345249,34.0059424765,0.10636805245400001,0.272500305841,5692.0,1737.0,0.4768557068638053
100,9858,301.640657084,578.433264887,0.523008641326,1.95001698721,40.0351774217,34.6556418721,0.0736091008451,0.27399930078400003,5693.0,7286.5,0.667838083927455
100,9859,270.028829847,1435.18315432,0.21713257251999996,5.3263251149699995,22.297002484,531.197039076,0.08413604737639999,1.96693205461,5692.5,8160.0,1.6726615285196804
100,9860,261.952908587,677.459833795,0.391074748406,2.5972601375999997,16.9052434494,71.9436657806,0.048788782736,0.325416450556,5693.0,4944.0,0.9544570961661997
100,9861,274.256198347,940.3232323230001,0.314672682594,3.4274606776599996,24.2712994825,275.424794577,0.08524553210130001,0.9530558811799998,5696.0,4096.0,1.2318196597875004
100,9862,1423.1542461,621.05372617,2.2840394207,0.472413566981,343.752024786,31.3041581861,0.52221571295,0.16535187174799998,5696.5,4814.0,-0.7499004758058669
100,9863,270.48108925900004,905.1225416039999,0.30924399781,3.3637057370599996,23.455207693600002,170.993993021,0.061818293880400006,0.666861184337,5698.5,819.0,1.2130432641645224
100,9864,1451.01792115,693.372759857,2.09081705653,0.48856763803400005,223.414741305,48.842194615100006,0.285426922132,0.07749752504,5696.0,2792.5,-0.7162773564208376
100,9865,784.78125,574.546875,1.3675256557,0.768347009965,158.69939830799999,25.972298757199997,0.278215274952,0.190100020741,5693.0,2952.0,-0.26351381198963647
100,9866,339.927380952,594.146428571,0.5744378874080001,1.7894709941799998,51.6012708666,36.3124173515,0.0949743171207,0.29921772533,5697.5,1433.0,0.5819200421962379
100,9867,347.94141689400004,575.967302452,0.605863279398,1.6905264895899998,50.740490591400004,35.7179996308,0.09246461294569999,0.266361645977,5695.0,4430.0,0.5250400127206456
100,9868,1557.73282443,596.84351145,2.6078876485699998,0.43615863678000005,456.387090866,35.3050276446,0.7510771925830001,0.202690680733,5700.5,8634.0,-0.8297492559832556
100,9869,265.998466258,589.151840491,0.452983384884,2.2292609626099997,21.4630156453,34.2827463758,0.044763119927500004,0.221882631195,5698.0,8219.0,0.8016701236432789
