frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3,DistanceLastNeighbor_k-00-05,neighbors_k-00-05,DistanceLastNeighbor_k-05-10,neighbors_k-05-10,DistanceLastNeighbor_k-10-15,neighbors_k-10-15,DistanceLastNeighbor_k-15-20,neighbors_k-15-20,DistanceLastNeighbor_k-20-25,neighbors_k-20-25,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_p_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_z_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_stats,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_low_quantile,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_high_quantile
100,4057,273.173205742,1082.36555024,0.275601730206,3.98592306309,22.533540121199998,308.614084215,0.0873112862234,1.17508119301,437.0,1037.5,1.3827689198205781,91.71968163922071,"[4080, 4113, 3965, 4013, 4011]",123.74368670764582,"[4011, 4226, 3892, 3914, 4218, 4031]",142.48245506026348,"[4031, 4182, 4248, 4169, 4287, 4099]",161.1839011812284,"[4099, 3939, 3857, 3829, 3954, 4350]",197.00380706981272,"[4350, 3996, 3906, 3823, 4328, 4217]",0.188,0.898937158435097,0.5074801797403635,-1.0426321164860253,1.0879062711522804
100,4062,272.655412115,1191.01390268,0.260400344877,4.39729284327,22.694846017399996,412.804903781,0.0970314337369,1.57053580328,437.5,834.0,1.4809890886791484,82.97590011563598,"[4084, 3973, 4099, 3960, 4031]",114.86513831445988,"[4031, 4016, 4217, 3939, 3906, 4191]",139.84455656191986,"[4191, 3880, 4011, 4182, 3901, 4014]",161.72352951874382,"[4014, 3848, 4136, 4277, 4342, 3965]",180.91779901380627,"[3965, 4218, 4357, 4080, 4353, 3855]",0.355,-0.34428438318499605,-0.20496377571982738,-1.2231735851397783,1.2381460745800508
100,4067,940.022636485,593.392809587,1.58280030696,0.726389058149,306.65215271299996,35.4538976196,0.5076273037169999,0.315304984871,443.0,553.5,-0.3196695149293735,96.07549115148983,"[4153, 4035, 4034, 4135, 4247]",141.53444810363303,"[4247, 4188, 3953, 4136, 3998, 3919]",161.41638702436626,"[3919, 4014, 3896, 4283, 4361, 4143]",176.06887856745155,"[4143, 3872, 3822, 4372, 3988, 3833]",202.24984548819808,"[3833, 4298, 3891, 4335, 4016, 4195]",0.151,-1.076826115295359,-0.46563997870728097,-0.8307768179528497,0.7280228011053498
100,4071,857.2003853560001,570.949903661,1.50305255777,0.715801309119,201.022421127,35.3036565348,0.350663098565,0.228780422448,444.0,36.0,-0.3343526517625295,72.40511031688303,"[4105, 4166, 4128, 3972, 3971]",104.6721070772916,"[4140, 3972, 3971, 3943, 4079, 4060]",133.6272801489277,"[4060, 3921, 3984, 4258, 4290, 4157]",149.7706580075016,"[4157, 3980, 4197, 4297, 4344, 3951]",164.44832014952297,"[3951, 4051, 4270, 4221, 4043, 4364]",0.107,1.2222366743075375,0.4889771285190889,-0.8988367599963513,0.7836239004178496
100,4079,1605.7524558,584.614931238,2.73038789643,0.436957930551,606.354184023,29.8211606719,0.988073027245,0.216649988542,446.5,136.5,-0.8279183572826952,84.83660766438035,"[4157, 4128, 4043, 3980, 4105]",105.10589897812586,"[4105, 4221, 4087, 4071, 3921, 3972]",137.4427153398826,"[3972, 4270, 3969, 4166, 4297, 4205]",155.59643312107124,"[4205, 3971, 4066, 4290, 3899, 3948]",171.08550493832024,"[3948, 4324, 4140, 3943, 4020, 4344]",0.041,1.726444459508628,1.2867399165984899,-1.3234657002987562,1.437813043629633
100,4080,271.309155767,1306.19619501,0.235843435299,4.85317161857,22.8786183275,447.94648725400003,0.08812886946560003,1.73031930873,446.0,1006.0,1.5796324331957072,86.72081641682117,"[4057, 4011, 3965, 4113, 4226]",116.53540234623985,"[4226, 4218, 4031, 4182, 4099, 3892]",146.10355916267062,"[3892, 4013, 4287, 3939, 3914, 4248]",164.973482717678,"[4248, 3857, 4350, 4169, 3906, 4217]",178.4740877550576,"[4217, 4062, 3973, 3823, 4353, 3829]",0.1,1.3142826719762786,0.8127569372908544,-1.1640238224635633,1.223874234236809
100,4084,356.148783977,565.945636624,0.631144910425,1.62356352296,52.0569805349,32.7778741406,0.0976433314187,0.25743539086100004,449.5,773.0,0.484623438965011,91.2318475095183,"[4016, 4062, 4191, 4014, 4136]",118.37651794169315,"[4136, 3960, 3973, 4277, 4217, 3901]",154.42312003064825,"[3901, 4099, 4135, 4031, 3848, 3919]",159.80769693603622,"[3919, 4035, 3880, 4357, 3855, 3906]",174.0028735394907,"[3906, 4298, 3939, 4182, 4342, 3872]",0.203,0.8643241069320061,0.03756854004001524,-0.08141078330701222,0.0813668108658752
100,4087,689.4539641939999,568.180306905,1.20854777915,1.06661685529,347.319508855,25.831976672899998,0.597796095535,0.512836095255,453.0,235.5,0.06449182188155284,81.0586207630009,"[4043, 4205, 4095, 4020, 3969]",100.23597158705051,"[3969, 4157, 4161, 3948, 4079, 4221]",143.1258187749506,"[4221, 3980, 3899, 4270, 4324, 4195]",163.331717679084,"[4195, 3938, 4345, 4128, 3854, 4143]",187.1095935541521,"[4143, 3921, 3988, 4297, 4105, 4340]",0.178,-0.8924479708390337,-0.16022791008769732,-0.3859768911927483,0.36891724557463146
100,4095,699.864594895,750.8690344060001,0.894990902446,1.25660535428,316.12725819599996,129.550064655,0.29099844661400004,0.442694990845,456.0,312.0,0.22841392190394094,87.98011138888153,"[4161, 4020, 4087, 4195, 4143]",117.75504235488177,"[4143, 4205, 3988, 3948, 3938, 4043]",151.29854592824086,"[4043, 3969, 3998, 4340, 4345, 3891]",163.10196197471078,"[3891, 4157, 3854, 3899, 4221, 4324]",176.37247517682567,"[4324, 3980, 4188, 4034, 4079, 4335]",0.441,0.12978416614701438,0.01587641839496594,-0.19606957559399107,0.19608221138961904
100,4099,834.137142857,571.23,1.461282909,0.7869749162790001,271.116113328,34.5375565767,0.473117865223,0.33793041778800004,457.5,896.5,-0.23955890365336138,77.14434522374275,"[4031, 4182, 4062, 4011, 4217]",119.01365467878044,"[4217, 3973, 3939, 4218, 4080, 3960]",139.46056790361928,"[3960, 3906, 3965, 4084, 4287, 3880]",151.01738310538957,"[3880, 4353, 4342, 4057, 4226, 4016]",178.19652072922187,"[4016, 4191, 4375, 4357, 3857, 3892]",0.119,-1.1972975509551822,-0.4494416956822095,-0.7259119619530886,0.6669380709206357
