index,X,Y,cell_type
493,1890,2656,1
494,1849,2617,1
495,1909,2786,1
496,2180,2798,1
497,1690,2944,1
498,1886,3096,1
499,1930,3007,1
500,1901,2933,1
501,1971,2939,1
502,2006,3035,1
503,2021,3092,1
504,1968,3098,1
505,1889,3182,1
506,2058,3169,1
507,2127,3082,1
508,2156,2899,1
509,2103,2848,1
510,2271,2773,1
511,2175,2840,1
512,1940,3236,1
513,1879,3271,1
514,2032,3383,1
515,1980,3379,1
516,1930,3473,1
517,1866,3497,1
518,1718,3454,1
519,2253,3251,1
520,2275,3313,1
521,2272,3345,1
522,2028,3632,1
523,1977,3656,1
524,1932,3568,1
525,1991,3513,1
526,1869,3685,1
527,2282,3560,1
528,2345,497,1
529,2447,359,1
530,2353,279,1
531,2378,283,1
532,2404,267,1
533,2351,255,1
534,2327,134,1
535,2329,8,1
536,2482,183,1
537,2549,207,1
538,2580,133,1
539,2629,135,1
540,2646,72,1
541,2698,79,1
542,2693,367,1
543,2627,376,1
544,2715,436,1
545,2627,578,1
546,2661,578,1
547,2679,531,1
548,2710,530,1
549,2317,709,1
550,2286,744,1
551,2343,798,1
552,2340,901,1
553,2296,940,1
554,2284,831,1
555,2504,709,1
556,2608,672,1
557,2538,1024,1
558,2733,1006,1
559,2522,1150,1
560,2570,1209,1
561,2579,1159,1
562,2633,1116,1
563,2667,1192,1
564,2731,1261,1
565,2562,1341,1
566,2382,1304,1
567,2400,1387,1
568,2320,1561,1
569,2291,1671,1
570,2382,1629,1
571,2757,1823,1
572,2699,2126,1
573,2760,2138,1
574,2584,2251,1
575,2403,2427,1
576,2457,2363,1
577,2533,2359,1
578,2296,2273,1
579,2528,2431,1
580,2569,2424,1
581,2658,2391,1
582,2711,2381,1
583,2681,2221,1
584,2744,2507,1
585,2514,2504,1
586,2516,2546,1
587,2429,2690,1
588,2292,2711,1
589,2336,2756,1
590,2359,2865,1
591,2616,2783,1
592,2721,2711,1
593,2689,2753,1
594,2727,2805,1
595,2729,2883,1
596,2618,3134,1
597,2671,3153,1
598,2704,3033,1
599,2730,3064,1
600,2594,3317,1
601,2439,3406,1
602,2480,3590,1
603,2557,3699,1
604,2694,3623,1
605,2902,24,1
606,2902,94,1
607,2944,185,1
608,2912,230,1
609,2876,249,1
610,2790,274,1
611,2804,367,1
612,2794,422,1
613,2860,338,1
614,2865,286,1
615,2929,375,1
616,2935,486,1
617,3006,286,1
618,3054,361,1
619,3126,378,1
620,3027,553,1
621,2960,565,1
622,2899,595,1
623,3270,535,1
624,3154,598,1
