ObjectNumber,Area,Compactness,Eccentricity,EulerNumber,Intensity_MEAN,Intensity_MEDIAN,Location_X,Location_Y,FirstClosestDistance,NumberOfNeighbors,PercentTouching,SecondClosestDistance,C19H24N2O2,C45H86O13P,C48H81NO10P,C10H14N5O7P
1910,2930,1.8921738975220943,0.9505842045333206,1.0,0.01472173778248042,0.012802319601178173,38.2368600682596,1191.8453924914675,40.38418870666303,2.0,34.83483483483484,52.19590717141471,1430.83154296875,2020.3077392578125,5334.997558593749,0.0
1911,2093,1.5297096195654067,0.9094989917089488,1.0,0.017552431855026796,0.015327687375247478,12.007166746297344,1222.551839464883,40.38418870666303,2.0,39.615384615384606,67.66286687091771,2185.2806877524163,1458.520258499404,5195.220138291183,0.0
1914,3254,1.2164278563599142,0.7412001955834187,1.0,0.016037785463303002,0.014358739368617538,1225.3131530424089,1232.681622618316,83.17991760621607,1.0,14.88673139158576,90.42893641252272,4263.850522359212,2529.983393351237,5907.02490234375,191.57411575317383
1922,2340,1.6809400787144584,0.8591561765272322,1.0,0.014001117791566584,0.012832837179303173,1524.3324786324793,1230.1747863247865,86.1773469969003,1.0,7.165109034267912,86.52005788500011,6745.881576045866,1691.671430690314,6432.592122395832,0.0
1925,2357,2.9053899278177227,0.946590896382422,1.0,0.01245971334273115,0.011360341683030128,450.7708952057694,1243.821807382265,16.782553787288922,6.0,32.075471698113205,47.21770066635028,2377.034003535404,2233.959309895833,8347.404325718619,346.87218903489253
1926,1944,2.33068647343378,0.5059825881918574,1.0,0.011765742107244676,0.010910200886428356,1345.920267489712,1232.39146090535,62.57831132543498,1.0,1.7721518987341771,81.49737373607623,3491.037707382373,3888.6039394421523,8499.0153150237,140.88241928614926
1927,3811,1.680164498552854,0.9201244947655508,1.0,0.015196916873304591,0.013534752652049065,1906.347415376541,1220.270007871949,43.717447628744104,4.0,45.20884520884521,74.06467120299939,3495.564796521665,3189.8837051406513,7421.7382327159985,180.4493195725359
1932,2668,5.616345303213577,0.9772993272447958,1.0,0.011279065319374651,0.010849164798855782,950.3601949025492,1198.3365817091449,58.52309780475442,0.0,0.0,76.15136098327244,1756.320635516827,0.0,0.0,152.55649528503417
1938,2381,4.965926578192243,0.9629494684553236,1.0,0.013356745571049822,0.012207217514514923,1741.2595548089039,1238.8971020579588,55.788065289180096,2.0,5.938697318007662,96.52771908942177,3488.3374067988707,3471.494595938356,8605.041295406592,0.0
1943,2554,1.178503111721762,0.7659196304185949,1.0,0.014335014731546657,0.01350423414260149,584.2779953014879,1259.7122161315583,62.787200949420516,2.0,37.074829931972786,97.42984574507685,3358.6703871396253,1472.580411044034,4354.483349116162,557.8089410544244
1944,3327,2.2769941329713403,0.9582296149710912,1.0,0.016840383205686,0.015609979629516603,328.3174030658249,1252.576495341148,41.96567311707883,1.0,29.743589743589745,82.18518762067424,3582.866454305528,4851.252435998072,10282.16458323032,248.90452575683602
1949,3431,1.7721711027386642,0.9446058585950852,1.0,0.014362355463176366,0.013000686652958391,74.98746721072575,1288.9390848149237,48.116739856786864,4.0,60.22408963585434,72.34514029365765,2178.202953895935,1880.938244418008,5203.35869357197,224.4547092634713
